NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Rocky Point, Eld Inlet 
State:  
Stationid: TWC1115
ReferencedToStationName: Seattle
ReferencedToStationId: 9447130
HeightOffsetLow: * 1.1
HeightOffsetHigh: * 1.31
TimeOffsetLow: 56
TimeOffsetHigh: 39
Prediction Type: Subordinate
From: 20230101 02:19 - 20231231 19:38
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/02/10	Fri	08:28 AM	15.69		478			H
2023/02/10	Fri	03:08 PM	3.77		115			L
2023/02/10	Fri	08:33 PM	11.85		361			H
2023/02/11	Sat	02:38 AM	3.81		116			L
2023/02/11	Sat	08:54 AM	15.49		472			H
2023/02/11	Sat	03:51 PM	2.80		85			L
2023/02/11	Sat	09:37 PM	11.54		352			H
2023/02/12	Sun	03:16 AM	5.52		168			L
2023/02/12	Sun	09:22 AM	15.16		462			H
2023/02/12	Sun	04:39 PM	1.88		57			L
2023/02/12	Sun	10:55 PM	11.43		348			H
2023/02/13	Mon	04:00 AM	7.27		222			L
2023/02/13	Mon	09:54 AM	14.76		450			H
2023/02/13	Mon	05:33 PM	1.02		31			L
2023/02/14	Tue	12:36 AM	11.78		359			H
2023/02/14	Tue	05:04 AM	8.83		269			L
2023/02/14	Tue	10:34 AM	14.35		437			H
2023/02/14	Tue	06:34 PM	0.17		5			L
2023/02/15	Wed	02:39 AM	12.79		390			H
2023/02/15	Wed	06:48 AM	9.84		300			L
2023/02/15	Wed	11:31 AM	14.03		428			H
2023/02/15	Wed	07:37 PM	-0.73		-22			L
2023/02/16	Thu	03:51 AM	14.00		427			H
2023/02/16	Thu	08:35 AM	9.94		303			L
2023/02/16	Thu	12:41 PM	13.94		425			H
2023/02/16	Thu	08:38 PM	-1.62		-49			L
2023/02/17	Fri	04:35 AM	14.95		456			H
2023/02/17	Fri	09:46 AM	9.40		287			L
2023/02/17	Fri	01:53 PM	14.14		431			H
2023/02/17	Fri	09:34 PM	-2.36		-72			L
2023/02/18	Sat	05:10 AM	15.61		476			H
2023/02/18	Sat	10:36 AM	8.52		260			L
2023/02/18	Sat	03:00 PM	14.51		442			H
2023/02/18	Sat	10:26 PM	-2.78		-85			L
2023/02/19	Sun	05:42 AM	16.06		490			H
2023/02/19	Sun	11:21 AM	7.41		226			L
2023/02/19	Sun	04:01 PM	14.81		451			H
2023/02/19	Sun	11:15 PM	-2.72		-83			L
2023/02/20	Mon	06:12 AM	16.38		499			H
2023/02/20	Mon	12:04 PM	6.15		187			L
2023/02/20	Mon	05:00 PM	14.86		453			H
2023/02/21	Tue	12:00 AM	-2.10		-64			L
2023/02/21	Tue	06:42 AM	16.60		506			H
2023/02/21	Tue	12:49 PM	4.82		147			L
2023/02/21	Tue	05:58 PM	14.61		445			H
2023/02/22	Wed	12:45 AM	-0.92		-28			L
2023/02/22	Wed	07:12 AM	16.69		509			H
2023/02/22	Wed	01:33 PM	3.54		108			L
2023/02/22	Wed	06:57 PM	14.10		430			H
2023/02/23	Thu	01:28 AM	0.72		22			L
2023/02/23	Thu	07:43 AM	16.59		506			H
2023/02/23	Thu	02:19 PM	2.43		74			L
2023/02/23	Thu	07:59 PM	13.47		411			H
2023/02/24	Fri	02:12 AM	2.67		81			L
2023/02/24	Fri	08:16 AM	16.25		495			H
2023/02/24	Fri	03:06 PM	1.60		49			L
2023/02/24	Fri	09:05 PM	12.84		391			H
2023/02/25	Sat	02:58 AM	4.72		144			L
2023/02/25	Sat	08:49 AM	15.61		476			H
2023/02/25	Sat	03:55 PM	1.12		34			L
2023/02/25	Sat	10:23 PM	12.38		377			H
2023/02/26	Sun	03:51 AM	6.65		203			L
2023/02/26	Sun	09:26 AM	14.72		449			H
2023/02/26	Sun	04:47 PM	0.95		29			L
2023/02/27	Mon	12:02 AM	12.33		376			H
2023/02/27	Mon	05:02 AM	8.24		251			L
2023/02/27	Mon	10:09 AM	13.68		417			H
2023/02/27	Mon	05:44 PM	0.99		30			L
2023/02/28	Tue	01:56 AM	12.92		394			H
2023/02/28	Tue	07:02 AM	9.05		276			L
2023/02/28	Tue	11:03 AM	12.68		386			H
2023/02/28	Tue	06:48 PM	1.06		32			L
2023/03/01	Wed	03:15 AM	13.76		419			H
2023/03/01	Wed	08:56 AM	8.82		269			L
2023/03/01	Wed	12:12 PM	11.96		365			H
2023/03/01	Wed	07:51 PM	1.00		30			L
2023/03/02	Thu	04:06 AM	14.38		438			H
2023/03/02	Thu	09:59 AM	8.22		251			L
2023/03/02	Thu	01:25 PM	11.72		357			H
2023/03/02	Thu	08:49 PM	0.80		24			L
2023/03/03	Fri	04:44 AM	14.70		448			H
2023/03/03	Fri	10:39 AM	7.63		233			L
2023/03/03	Fri	02:28 PM	11.87		362			H
2023/03/03	Fri	09:37 PM	0.55		17			L
2023/03/04	Sat	05:12 AM	14.79		451			H
2023/03/04	Sat	11:09 AM	7.07		215			L
2023/03/04	Sat	03:20 PM	12.21		372			H
2023/03/04	Sat	10:18 PM	0.36		11			L
2023/03/05	Sun	05:33 AM	14.78		450			H
2023/03/05	Sun	11:33 AM	6.50		198			L
2023/03/05	Sun	04:04 PM	12.54		382			H
2023/03/05	Sun	10:54 PM	0.35		11			L
2023/03/06	Mon	05:50 AM	14.79		451			H
2023/03/06	Mon	11:54 AM	5.82		177			L
2023/03/06	Mon	04:45 PM	12.80		390			H
2023/03/06	Mon	11:27 PM	0.57		17			L
2023/03/07	Tue	06:05 AM	14.89		454			H
2023/03/07	Tue	12:17 PM	5.00		152			L
2023/03/07	Tue	05:25 PM	12.98		396			H
2023/03/07	Tue	11:59 PM	1.07		33			L
2023/03/08	Wed	06:23 AM	15.03		458			H
2023/03/08	Wed	12:43 PM	4.04		123			L
2023/03/08	Wed	06:06 PM	13.10		399			H
2023/03/09	Thu	12:32 AM	1.88		57			L
2023/03/09	Thu	06:43 AM	15.15		462			H
2023/03/09	Thu	01:13 PM	3.01		92			L
2023/03/09	Thu	06:50 PM	13.16		401			H
2023/03/10	Fri	01:06 AM	2.96		90			L
2023/03/10	Fri	07:05 AM	15.15		462			H
2023/03/10	Fri	01:47 PM	2.00		61			L
2023/03/10	Fri	07:38 PM	13.16		401			H
2023/03/11	Sat	01:41 AM	4.26		130			L
2023/03/11	Sat	07:29 AM	15.01		458			H
2023/03/11	Sat	02:24 PM	1.11		34			L
2023/03/11	Sat	08:31 PM	13.08		399			H
2023/03/12	Sun	03:19 AM	5.68		173			L
2023/03/12	Sun	08:55 AM	14.72		449			H
2023/03/12	Sun	04:07 PM	0.44		13			L
2023/03/12	Sun	10:32 PM	12.90		393			H
2023/03/13	Mon	04:01 AM	7.12		217			L
2023/03/13	Mon	09:23 AM	14.30		436			H
2023/03/13	Mon	04:55 PM	0.03		1			L
2023/03/13	Mon	11:45 PM	12.73		388			H
2023/03/14	Tue	04:54 AM	8.42		257			L
2023/03/14	Tue	09:58 AM	13.78		420			H
2023/03/14	Tue	05:53 PM	-0.18		-5			L
2023/03/15	Wed	01:22 AM	12.81		390			H
2023/03/15	Wed	06:16 AM	9.36		285			L
2023/03/15	Wed	10:49 AM	13.17		401			H
2023/03/15	Wed	06:59 PM	-0.34		-10			L
2023/03/16	Thu	03:09 AM	13.39		408			H
2023/03/16	Thu	08:16 AM	9.52		290			L
2023/03/16	Thu	12:10 PM	12.66		386			H
2023/03/16	Thu	08:09 PM	-0.61		-19			L
2023/03/17	Fri	04:13 AM	14.14		431			H
2023/03/17	Fri	09:47 AM	8.80		268			L
2023/03/17	Fri	01:41 PM	12.59		384			H
2023/03/17	Fri	09:17 PM	-0.97		-30			L
2023/03/18	Sat	04:54 AM	14.76		450			H
2023/03/18	Sat	10:40 AM	7.65		233			L
2023/03/18	Sat	03:01 PM	12.96		395			H
2023/03/18	Sat	10:16 PM	-1.21		-37			L
2023/03/19	Sun	05:26 AM	15.24		465			H
2023/03/19	Sun	11:23 AM	6.26		191			L
2023/03/19	Sun	04:10 PM	13.52		412			H
2023/03/19	Sun	11:08 PM	-1.11		-34			L
2023/03/20	Mon	05:55 AM	15.61		476			H
2023/03/20	Mon	12:03 PM	4.74		144			L
2023/03/20	Mon	05:12 PM	14.00		427			H
2023/03/20	Mon	11:56 PM	-0.54		-16			L
2023/03/21	Tue	06:22 AM	15.88		484			H
2023/03/21	Tue	12:42 PM	3.20		98			L
2023/03/21	Tue	06:10 PM	14.30		436			H
2023/03/22	Wed	12:41 AM	0.50		15			L
2023/03/22	Wed	06:50 AM	16.02		488			H
2023/03/22	Wed	01:21 PM	1.79		55			L
2023/03/22	Wed	07:07 PM	14.39		439			H
2023/03/23	Thu	01:25 AM	1.90		58			L
2023/03/23	Thu	07:18 AM	15.96		486			H
2023/03/23	Thu	02:01 PM	0.64		20			L
2023/03/23	Thu	08:03 PM	14.33		437			H
2023/03/24	Fri	02:09 AM	3.50		107			L
2023/03/24	Fri	07:48 AM	15.64		477			H
2023/03/24	Fri	02:41 PM	-0.12		-4			L
2023/03/24	Fri	09:01 PM	14.15		431			H
2023/03/25	Sat	02:54 AM	5.13		156			L
2023/03/25	Sat	08:20 AM	15.04		458			H
2023/03/25	Sat	03:22 PM	-0.45		-14			L
2023/03/25	Sat	10:01 PM	13.88		423			H
2023/03/26	Sun	03:44 AM	6.62		202			L
2023/03/26	Sun	08:54 AM	14.18		432			H
2023/03/26	Sun	04:06 PM	-0.34		-10			L
2023/03/26	Sun	11:08 PM	13.57		414			H
2023/03/27	Mon	04:44 AM	7.83		239			L
2023/03/27	Mon	09:31 AM	13.13		400			H
2023/03/27	Mon	04:53 PM	0.12		4			L
2023/03/28	Tue	12:29 AM	13.33		406			H
2023/03/28	Tue	06:11 AM	8.58		262			L
2023/03/28	Tue	10:18 AM	12.02		366			H
2023/03/28	Tue	05:48 PM	0.75		23			L
2023/03/29	Wed	02:03 AM	13.34		407			H
2023/03/29	Wed	08:24 AM	8.53		260			L
2023/03/29	Wed	11:22 AM	11.04		336			H
2023/03/29	Wed	06:52 PM	1.32		40			L
2023/03/30	Thu	03:19 AM	13.58		414			H
2023/03/30	Thu	09:48 AM	7.84		239			L
2023/03/30	Thu	12:46 PM	10.46		319			H
2023/03/30	Thu	08:02 PM	1.64		50			L
2023/03/31	Fri	04:10 AM	13.82		421			H
2023/03/31	Fri	10:34 AM	7.04		215			L
2023/03/31	Fri	02:09 PM	10.46		319			H
2023/03/31	Fri	09:07 PM	1.68		51			L
2023/04/01	Sat	04:45 AM	13.98		426			H
2023/04/01	Sat	11:06 AM	6.26		191			L
2023/04/01	Sat	03:17 PM	10.87		331			H
2023/04/01	Sat	10:00 PM	1.64		50			L
2023/04/02	Sun	05:09 AM	14.08		429			H
2023/04/02	Sun	11:31 AM	5.46		166			L
2023/04/02	Sun	04:12 PM	11.42		348			H
2023/04/02	Sun	10:44 PM	1.71		52			L
2023/04/03	Mon	05:27 AM	14.17		432			H
2023/04/03	Mon	11:52 AM	4.57		139			L
2023/04/03	Mon	04:58 PM	11.99		365			H
2023/04/03	Mon	11:22 PM	2.00		61			L
2023/04/04	Tue	05:43 AM	14.29		436			H
2023/04/04	Tue	12:13 PM	3.56		109			L
2023/04/04	Tue	05:42 PM	12.53		382			H
2023/04/04	Tue	11:57 PM	2.55		78			L
2023/04/05	Wed	06:01 AM	14.44		440			H
2023/04/05	Wed	12:37 PM	2.43		74			L
2023/04/05	Wed	06:24 PM	13.06		398			H
2023/04/06	Thu	12:32 AM	3.33		101			L
2023/04/06	Thu	06:21 AM	14.56		444			H
2023/04/06	Thu	01:04 PM	1.26		38			L
2023/04/06	Thu	07:07 PM	13.55		413			H
2023/04/07	Fri	01:08 AM	4.29		131			L
2023/04/07	Fri	06:43 AM	14.59		445			H
2023/04/07	Fri	01:36 PM	0.16		5			L
2023/04/07	Fri	07:52 PM	13.97		426			H
2023/04/08	Sat	01:46 AM	5.36		163			L
2023/04/08	Sat	07:07 AM	14.51		442			H
2023/04/08	Sat	02:11 PM	-0.75		-23			L
2023/04/08	Sat	08:40 PM	14.24		434			H
2023/04/09	Sun	02:26 AM	6.45		197			L
2023/04/09	Sun	07:33 AM	14.29		436			H
2023/04/09	Sun	02:50 PM	-1.35		-41			L
2023/04/09	Sun	09:33 PM	14.30		436			H
2023/04/10	Mon	03:11 AM	7.47		228			L
2023/04/10	Mon	08:02 AM	13.93		425			H
2023/04/10	Mon	03:35 PM	-1.58		-48			L
2023/04/10	Mon	10:33 PM	14.14		431			H
2023/04/11	Tue	04:04 AM	8.35		255			L
2023/04/11	Tue	08:37 AM	13.41		409			H
2023/04/11	Tue	04:26 PM	-1.45		-44			L
2023/04/11	Tue	11:44 PM	13.91		424			H
2023/04/12	Wed	05:13 AM	8.94		272			L
2023/04/12	Wed	09:23 AM	12.70		387			H
2023/04/12	Wed	05:25 PM	-1.07		-33			L
2023/04/13	Thu	01:07 AM	13.85		422			H
2023/04/13	Thu	06:51 AM	8.98		274			L
2023/04/13	Thu	10:36 AM	11.87		362			H
2023/04/13	Thu	06:32 PM	-0.61		-19			L
2023/04/14	Fri	02:24 AM	14.08		429			H
2023/04/14	Fri	08:36 AM	8.21		250			L
2023/04/14	Fri	12:15 PM	11.28		344			H
2023/04/14	Fri	07:43 PM	-0.20		-6			L
2023/04/15	Sat	03:19 AM	14.46		441			H
2023/04/15	Sat	09:40 AM	6.88		210			L
2023/04/15	Sat	01:52 PM	11.29		344			H
2023/04/15	Sat	08:52 PM	0.16		5			L
2023/04/16	Sun	03:59 AM	14.85		453			H
2023/04/16	Sun	10:24 AM	5.26		160			L
2023/04/16	Sun	03:15 PM	11.82		360			H
2023/04/16	Sun	09:52 PM	0.65		20			L
2023/04/17	Mon	04:31 AM	15.19		463			H
2023/04/17	Mon	11:04 AM	3.53		108			L
2023/04/17	Mon	04:25 PM	12.57		383			H
2023/04/17	Mon	10:46 PM	1.40		43			L
2023/04/18	Tue	05:00 AM	15.44		471			H
2023/04/18	Tue	11:41 AM	1.83		56			L
2023/04/18	Tue	05:28 PM	13.32		406			H
2023/04/18	Tue	11:35 PM	2.45		75			L
2023/04/19	Wed	05:27 AM	15.54		474			H
2023/04/19	Wed	12:17 PM	0.33		10			L
2023/04/19	Wed	06:25 PM	13.97		426			H
2023/04/20	Thu	12:22 AM	3.69		112			L
2023/04/20	Thu	05:55 AM	15.45		471			H
2023/04/20	Thu	12:53 PM	-0.85		-26			L
2023/04/20	Thu	07:19 PM	14.48		441			H
2023/04/21	Fri	01:08 AM	4.98		152			L
2023/04/21	Fri	06:25 AM	15.13		461			H
2023/04/21	Fri	01:29 PM	-1.60		-49			L
2023/04/21	Fri	08:11 PM	14.80		451			H
2023/04/22	Sat	01:56 AM	6.17		188			L
2023/04/22	Sat	06:55 AM	14.56		444			H
2023/04/22	Sat	02:06 PM	-1.90		-58			L
2023/04/22	Sat	09:03 PM	14.90		454			H
2023/04/23	Sun	02:46 AM	7.16		218			L
2023/04/23	Sun	07:28 AM	13.79		420			H
2023/04/23	Sun	02:44 PM	-1.76		-54			L
2023/04/23	Sun	09:55 PM	14.79		451			H
2023/04/24	Mon	03:41 AM	7.88		240			L
2023/04/24	Mon	08:04 AM	12.86		392			H
2023/04/24	Mon	03:25 PM	-1.26		-38			L
2023/04/24	Mon	10:50 PM	14.49		442			H
2023/04/25	Tue	04:48 AM	8.30		253			L
2023/04/25	Tue	08:45 AM	11.86		361			H
2023/04/25	Tue	04:10 PM	-0.50		-15			L
2023/04/25	Tue	11:52 PM	14.11		430			H
2023/04/26	Wed	06:20 AM	8.32		254			L
2023/04/26	Wed	09:36 AM	10.86		331			H
2023/04/26	Wed	05:01 PM	0.37		11			L
2023/04/27	Thu	12:58 AM	13.81		421			H
2023/04/27	Thu	08:06 AM	7.81		238			L
2023/04/27	Thu	10:47 AM	9.98		304			H
2023/04/27	Thu	06:00 PM	1.22		37			L
2023/04/28	Fri	02:00 AM	13.69		417			H
2023/04/28	Fri	09:12 AM	6.98		213			L
2023/04/28	Fri	12:14 PM	9.46		288			H
2023/04/28	Fri	07:04 PM	1.91		58			L
2023/04/29	Sat	02:48 AM	13.70		418			H
2023/04/29	Sat	09:52 AM	6.04		184			L
2023/04/29	Sat	01:41 PM	9.47		289			H
2023/04/29	Sat	08:09 PM	2.45		75			L
2023/04/30	Sun	03:23 AM	13.80		421			H
2023/04/30	Sun	10:21 AM	5.02		153			L
2023/04/30	Sun	02:56 PM	9.94		303			H
2023/04/30	Sun	09:07 PM	2.93		89			L
2023/05/01	Mon	03:49 AM	13.93		425			H
2023/05/01	Mon	10:45 AM	3.90		119			L
2023/05/01	Mon	03:58 PM	10.68		326			H
2023/05/01	Mon	09:57 PM	3.49		106			L
2023/05/02	Tue	04:11 AM	14.07		429			H
2023/05/02	Tue	11:07 AM	2.66		81			L
2023/05/02	Tue	04:52 PM	11.57		353			H
2023/05/02	Tue	10:41 PM	4.19		128			L
2023/05/03	Wed	04:33 AM	14.21		433			H
2023/05/03	Wed	11:30 AM	1.34		41			L
2023/05/03	Wed	05:39 PM	12.51		381			H
2023/05/03	Wed	11:23 PM	5.01		153			L
2023/05/04	Thu	04:55 AM	14.32		436			H
2023/05/04	Thu	11:57 AM	0.01		0			L
2023/05/04	Thu	06:25 PM	13.43		409			H
2023/05/05	Fri	12:05 AM	5.89		180			L
2023/05/05	Fri	05:19 AM	14.36		438			H
2023/05/05	Fri	12:28 PM	-1.22		-37			L
2023/05/05	Fri	07:10 PM	14.24		434			H
2023/05/06	Sat	12:47 AM	6.76		206			L
2023/05/06	Sat	05:45 AM	14.33		437			H
2023/05/06	Sat	01:03 PM	-2.21		-67			L
2023/05/06	Sat	07:56 PM	14.86		453			H
2023/05/07	Sun	01:32 AM	7.54		230			L
2023/05/07	Sun	06:14 AM	14.20		433			H
2023/05/07	Sun	01:43 PM	-2.87		-87			L
2023/05/07	Sun	08:45 PM	15.21		464			H
2023/05/08	Mon	02:20 AM	8.17		249			L
2023/05/08	Mon	06:47 AM	13.93		425			H
2023/05/08	Mon	02:26 PM	-3.11		-95			L
2023/05/08	Mon	09:38 PM	15.29		466			H
2023/05/09	Tue	03:13 AM	8.60		262			L
2023/05/09	Tue	07:27 AM	13.47		411			H
2023/05/09	Tue	03:14 PM	-2.94		-90			L
2023/05/09	Tue	10:36 PM	15.16		462			H
2023/05/10	Wed	04:15 AM	8.77		267			L
2023/05/10	Wed	08:15 AM	12.77		389			H
2023/05/10	Wed	04:07 PM	-2.38		-73			L
2023/05/10	Wed	11:38 PM	14.98		457			H
2023/05/11	Thu	05:33 AM	8.56		261			L
2023/05/11	Thu	09:20 AM	11.84		361			H
2023/05/11	Thu	05:05 PM	-1.52		-46			L
2023/05/12	Fri	12:40 AM	14.89		454			H
2023/05/12	Fri	07:03 AM	7.77		237			L
2023/05/12	Fri	10:47 AM	10.87		331			H
2023/05/12	Fri	06:08 PM	-0.46		-14			L
